INDIVIDUALS_PLINK	INDIVIDUALS_CLEAN
NS.1780.004.UDP0209_i7---UDP0209_i5.MB20.realigned.bam	NS.1780.004.UDP0209-i7---UDP0209-i5.MB20.realigned.bam
NS.1780.004.UDP0210_i7---UDP0210_i5.MB31.realigned.bam	NS.1780.004.UDP0210-i7---UDP0210-i5.MB31.realigned.bam
NS.1780.004.UDP0211_i7---UDP0211_i5.MB21.realigned.bam	NS.1780.004.UDP0211-i7---UDP0211-i5.MB21.realigned.bam
NS.1780.004.UDP0212_i7---UDP0212_i5.MB15.realigned.bam	NS.1780.004.UDP0212-i7---UDP0212-i5.MB15.realigned.bam
NS.1780.004.UDP0213_i7---UDP0213_i5.MB29.realigned.bam	NS.1780.004.UDP0213-i7---UDP0213-i5.MB29.realigned.bam
NS.1780.004.UDP0214_i7---UDP0214_i5.MB30.realigned.bam	NS.1780.004.UDP0214-i7---UDP0214-i5.MB30.realigned.bam
NS.1780.004.UDP0215_i7---UDP0215_i5.MB24.realigned.bam	NS.1780.004.UDP0215-i7---UDP0215-i5.MB24.realigned.bam
NS.1780.004.UDP0216_i7---UDP0216_i5.MB28.realigned.bam	NS.1780.004.UDP0216-i7---UDP0216-i5.MB28.realigned.bam
NS.1780.004.UDP0217_i7---UDP0217_i5.MB19.realigned.bam	NS.1780.004.UDP0217-i7---UDP0217-i5.MB19.realigned.bam
NS.1780.004.UDP0218_i7---UDP0218_i5.MB16.realigned.bam	NS.1780.004.UDP0218-i7---UDP0218-i5.MB16.realigned.bam
NS.1780.004.UDP0219_i7---UDP0219_i5.MB18.realigned.bam	NS.1780.004.UDP0219-i7---UDP0219-i5.MB18.realigned.bam
NS.1780.004.UDP0220_i7---UDP0220_i5.MB17.realigned.bam	NS.1780.004.UDP0220-i7---UDP0220-i5.MB17.realigned.bam
NS.1780.004.UDP0221_i7---UDP0221_i5.MB25.realigned.bam	NS.1780.004.UDP0221-i7---UDP0221-i5.MB25.realigned.bam
NS.1780.004.UDP0222_i7---UDP0222_i5.MB26.realigned.bam	NS.1780.004.UDP0222-i7---UDP0222-i5.MB26.realigned.bam
NS.1780.004.UDP0223_i7---UDP0223_i5.MB27.realigned.bam	NS.1780.004.UDP0223-i7---UDP0223-i5.MB27.realigned.bam
NS.1780.004.UDP0224_i7---UDP0224_i5.MB32.realigned.bam	NS.1780.004.UDP0224-i7---UDP0224-i5.MB32.realigned.bam
NS.1780.004.UDP0225_i7---UDP0225_i5.MB33.realigned.bam	NS.1780.004.UDP0225-i7---UDP0225-i5.MB33.realigned.bam
NS.1780.004.UDP0226_i7---UDP0226_i5.MB34.realigned.bam	NS.1780.004.UDP0226-i7---UDP0226-i5.MB34.realigned.bam
NS.1780.004.UDP0227_i7---UDP0227_i5.MB35.realigned.bam	NS.1780.004.UDP0227-i7---UDP0227-i5.MB35.realigned.bam
NS.1780.004.UDP0228_i7---UDP0228_i5.Q001.realigned.bam	NS.1780.004.UDP0228-i7---UDP0228-i5.Q001.realigned.bam
NS.1780.004.UDP0230_i7---UDP0230_i5.Q003.realigned.bam	NS.1780.004.UDP0230-i7---UDP0230-i5.Q003.realigned.bam
NS.1780.004.UDP0231_i7---UDP0231_i5.Q004.realigned.bam	NS.1780.004.UDP0231-i7---UDP0231-i5.Q004.realigned.bam
NS.1780.004.UDP0232_i7---UDP0232_i5.Q005.realigned.bam	NS.1780.004.UDP0232-i7---UDP0232-i5.Q005.realigned.bam
NS.1780.004.UDP0233_i7---UDP0233_i5.Q009.realigned.bam	NS.1780.004.UDP0233-i7---UDP0233-i5.Q009.realigned.bam
NS.1780.004.UDP0234_i7---UDP0234_i5.Q010.realigned.bam	NS.1780.004.UDP0234-i7---UDP0234-i5.Q010.realigned.bam
NS.1780.004.UDP0235_i7---UDP0235_i5.Q011.realigned.bam	NS.1780.004.UDP0235-i7---UDP0235-i5.Q011.realigned.bam
NS.1780.004.UDP0236_i7---UDP0236_i5.Q012.realigned.bam	NS.1780.004.UDP0236-i7---UDP0236-i5.Q012.realigned.bam
NS.1780.004.UDP0237_i7---UDP0237_i5.Q013.realigned.bam	NS.1780.004.UDP0237-i7---UDP0237-i5.Q013.realigned.bam
NS.1780.004.UDP0239_i7---UDP0239_i5.Q015.realigned.bam	NS.1780.004.UDP0239-i7---UDP0239-i5.Q015.realigned.bam
NS.1780.004.UDP0240_i7---UDP0240_i5.Q016.realigned.bam	NS.1780.004.UDP0240-i7---UDP0240-i5.Q016.realigned.bam
NS.1780.004.UDP0241_i7---UDP0241_i5.Q017.realigned.bam	NS.1780.004.UDP0241-i7---UDP0241-i5.Q017.realigned.bam
NS.1780.004.UDP0242_i7---UDP0242_i5.Q018.realigned.bam	NS.1780.004.UDP0242-i7---UDP0242-i5.Q018.realigned.bam
NS.1780.004.UDP0243_i7---UDP0243_i5.Q019.realigned.bam	NS.1780.004.UDP0243-i7---UDP0243-i5.Q019.realigned.bam
NS.1780.004.UDP0244_i7---UDP0244_i5.Q020.realigned.bam	NS.1780.004.UDP0244-i7---UDP0244-i5.Q020.realigned.bam
NS.1780.004.UDP0245_i7---UDP0245_i5.Q021.realigned.bam	NS.1780.004.UDP0245-i7---UDP0245-i5.Q021.realigned.bam
NS.1780.004.UDP0246_i7---UDP0246_i5.Q022.realigned.bam	NS.1780.004.UDP0246-i7---UDP0246-i5.Q022.realigned.bam
NS.1780.004.UDP0247_i7---UDP0247_i5.Q023.realigned.bam	NS.1780.004.UDP0247-i7---UDP0247-i5.Q023.realigned.bam
NS.1780.004.UDP0248_i7---UDP0248_i5.Q024.realigned.bam	NS.1780.004.UDP0248-i7---UDP0248-i5.Q024.realigned.bam
NS.1780.004.UDP0249_i7---UDP0249_i5.Q025.realigned.bam	NS.1780.004.UDP0249-i7---UDP0249-i5.Q025.realigned.bam
NS.1780.004.UDP0250_i7---UDP0250_i5.Q026.realigned.bam	NS.1780.004.UDP0250-i7---UDP0250-i5.Q026.realigned.bam
NS.1780.004.UDP0251_i7---UDP0251_i5.Q027.realigned.bam	NS.1780.004.UDP0251-i7---UDP0251-i5.Q027.realigned.bam
NS.1780.004.UDP0252_i7---UDP0252_i5.Q028.realigned.bam	NS.1780.004.UDP0252-i7---UDP0252-i5.Q028.realigned.bam
NS.1780.004.UDP0253_i7---UDP0253_i5.Q029.realigned.bam	NS.1780.004.UDP0253-i7---UDP0253-i5.Q029.realigned.bam
NS.1780.004.UDP0254_i7---UDP0254_i5.Q030.realigned.bam	NS.1780.004.UDP0254-i7---UDP0254-i5.Q030.realigned.bam
NS.1780.004.UDP0255_i7---UDP0255_i5.Q031.realigned.bam	NS.1780.004.UDP0255-i7---UDP0255-i5.Q031.realigned.bam
NS.1780.004.UDP0256_i7---UDP0256_i5.Q032.realigned.bam	NS.1780.004.UDP0256-i7---UDP0256-i5.Q032.realigned.bam
NS.1780.004.UDP0257_i7---UDP0257_i5.Q033.realigned.bam	NS.1780.004.UDP0257-i7---UDP0257-i5.Q033.realigned.bam
NS.1780.004.UDP0258_i7---UDP0258_i5.Q034.realigned.bam	NS.1780.004.UDP0258-i7---UDP0258-i5.Q034.realigned.bam
NS.1780.004.UDP0259_i7---UDP0259_i5.Q035.realigned.bam	NS.1780.004.UDP0259-i7---UDP0259-i5.Q035.realigned.bam
NS.1780.004.UDP0260_i7---UDP0260_i5.Q036.realigned.bam	NS.1780.004.UDP0260-i7---UDP0260-i5.Q036.realigned.bam
NS.1780.004.UDP0261_i7---UDP0261_i5.Q037.realigned.bam	NS.1780.004.UDP0261-i7---UDP0261-i5.Q037.realigned.bam
NS.1780.004.UDP0262_i7---UDP0262_i5.Q038.realigned.bam	NS.1780.004.UDP0262-i7---UDP0262-i5.Q038.realigned.bam
NS.1780.004.UDP0263_i7---UDP0263_i5.LC1.realigned.bam	NS.1780.004.UDP0263-i7---UDP0263-i5.LC1.realigned.bam
NS.1780.004.UDP0264_i7---UDP0264_i5.LC2.realigned.bam	NS.1780.004.UDP0264-i7---UDP0264-i5.LC2.realigned.bam
NS.1780.004.UDP0265_i7---UDP0265_i5.LC7.realigned.bam	NS.1780.004.UDP0265-i7---UDP0265-i5.LC7.realigned.bam
NS.1780.004.UDP0266_i7---UDP0266_i5.LC8.realigned.bam	NS.1780.004.UDP0266-i7---UDP0266-i5.LC8.realigned.bam
NS.1780.004.UDP0267_i7---UDP0267_i5.LC9.realigned.bam	NS.1780.004.UDP0267-i7---UDP0267-i5.LC9.realigned.bam
NS.1780.004.UDP0268_i7---UDP0268_i5.LC10.realigned.bam	NS.1780.004.UDP0268-i7---UDP0268-i5.LC10.realigned.bam
NS.1780.004.UDP0269_i7---UDP0269_i5.LC11.realigned.bam	NS.1780.004.UDP0269-i7---UDP0269-i5.LC11.realigned.bam
NS.1780.004.UDP0270_i7---UDP0270_i5.LC12.realigned.bam	NS.1780.004.UDP0270-i7---UDP0270-i5.LC12.realigned.bam
NS.1780.004.UDP0271_i7---UDP0271_i5.LC13.realigned.bam	NS.1780.004.UDP0271-i7---UDP0271-i5.LC13.realigned.bam
NS.1780.004.UDP0272_i7---UDP0272_i5.LC14.realigned.bam	NS.1780.004.UDP0272-i7---UDP0272-i5.LC14.realigned.bam
NS.1780.004.UDP0275_i7---UDP0275_i5.LC17.realigned.bam	NS.1780.004.UDP0275-i7---UDP0275-i5.LC17.realigned.bam
NS.1780.004.UDP0276_i7---UDP0276_i5.LC18.realigned.bam	NS.1780.004.UDP0276-i7---UDP0276-i5.LC18.realigned.bam
NS.1780.004.UDP0277_i7---UDP0277_i5.LC19.realigned.bam	NS.1780.004.UDP0277-i7---UDP0277-i5.LC19.realigned.bam
NS.1780.004.UDP0278_i7---UDP0278_i5.LC20.realigned.bam	NS.1780.004.UDP0278-i7---UDP0278-i5.LC20.realigned.bam
NS.1780.004.UDP0279_i7---UDP0279_i5.LC21.realigned.bam	NS.1780.004.UDP0279-i7---UDP0279-i5.LC21.realigned.bam
NS.1780.004.UDP0280_i7---UDP0280_i5.LC22.realigned.bam	NS.1780.004.UDP0280-i7---UDP0280-i5.LC22.realigned.bam
NS.1780.004.UDP0281_i7---UDP0281_i5.LC23.realigned.bam	NS.1780.004.UDP0281-i7---UDP0281-i5.LC23.realigned.bam
NS.1780.004.UDP0282_i7---UDP0282_i5.LC24.realigned.bam	NS.1780.004.UDP0282-i7---UDP0282-i5.LC24.realigned.bam
NS.1780.004.UDP0283_i7---UDP0283_i5.LC25.realigned.bam	NS.1780.004.UDP0283-i7---UDP0283-i5.LC25.realigned.bam
NS.1780.004.UDP0284_i7---UDP0284_i5.LC26.realigned.bam	NS.1780.004.UDP0284-i7---UDP0284-i5.LC26.realigned.bam
NS.1780.004.UDP0285_i7---UDP0285_i5.LC27.realigned.bam	NS.1780.004.UDP0285-i7---UDP0285-i5.LC27.realigned.bam
NS.1780.004.UDP0286_i7---UDP0286_i5.LC28.realigned.bam	NS.1780.004.UDP0286-i7---UDP0286-i5.LC28.realigned.bam
NS.1780.004.UDP0287_i7---UDP0287_i5.LC29.realigned.bam	NS.1780.004.UDP0287-i7---UDP0287-i5.LC29.realigned.bam
NS.1781.001.UDP0193_i7---UDP0193_i5.3B49.realigned.bam	NS.1781.001.UDP0193-i7---UDP0193-i5.3B49.realigned.bam
NS.1781.001.UDP0194_i7---UDP0194_i5.3B50.realigned.bam	NS.1781.001.UDP0194-i7---UDP0194-i5.3B50.realigned.bam
NS.1781.001.UDP0195_i7---UDP0195_i5.3B51.realigned.bam	NS.1781.001.UDP0195-i7---UDP0195-i5.3B51.realigned.bam
NS.1781.001.UDP0196_i7---UDP0196_i5.3B52.realigned.bam	NS.1781.001.UDP0196-i7---UDP0196-i5.3B52.realigned.bam
NS.1781.001.UDP0197_i7---UDP0197_i5.3B53.realigned.bam	NS.1781.001.UDP0197-i7---UDP0197-i5.3B53.realigned.bam
NS.1781.001.UDP0198_i7---UDP0198_i5.3B54.realigned.bam	NS.1781.001.UDP0198-i7---UDP0198-i5.3B54.realigned.bam
NS.1781.001.UDP0199_i7---UDP0199_i5.3B55.realigned.bam	NS.1781.001.UDP0199-i7---UDP0199-i5.3B55.realigned.bam
NS.1781.001.UDP0200_i7---UDP0200_i5.3B56.realigned.bam	NS.1781.001.UDP0200-i7---UDP0200-i5.3B56.realigned.bam
NS.1781.001.UDP0202_i7---UDP0202_i5.3B58.realigned.bam	NS.1781.001.UDP0202-i7---UDP0202-i5.3B58.realigned.bam
