,site,season,prec_lower,prec_upper,mean,min,max,sd
62,MaritimeE,Spring,33.1736197695136,34.3780836090446,33.7363592847916,32.4854273814708,34.9986266344786,NA
63,MaritimeE,Summer,33.3071891125292,34.234646614641,33.7355418247171,32.7051606494933,35.5952634941787,NA
64,MaritimeE,Winter,33.3440147805959,34.3404441140592,33.7437103702022,32.7784050721675,34.9314859136939,NA
65,NAFO_4X,Fall,32.3988056788221,33.3862320519984,32.8170109866187,31.6583757754415,33.9518417604268,NA
66,NAFO_4X,Spring,32.1537929121405,32.9579556360841,32.5172659375572,31.7514572292566,33.300271583721,NA
67,NAFO_4X,Summer,32.5249488512054,33.5210729995742,32.9481388488784,32.1802422869951,33.892330667004,NA
68,NAFO_4X,Winter,31.8623411469162,32.6075014192611,32.25217877355,31.5210424829274,33.0607012845576,NA
69,NL10B,Fall,32.590105868876,33.0702128866687,32.8501490014605,32.4335459154099,33.8847010396421,NA
70,NL10B,Spring,32.5769829098135,32.7606026083231,32.6596856483125,32.4900051578879,32.9630420543253,NA
71,NL10B,Summer,32.5791192054749,32.9721976071596,32.7835169225,32.4930570088327,33.4101382177323,NA
72,NL10B,Winter,32.6644693035632,32.8796247951686,32.7557584004743,32.5083162635565,33.300271583721,NA
73,NL3B,Fall,33.4161910554394,33.90194399748,33.651590491645,33.1583605147898,34.1334268916398,NA
74,NL3B,Spring,33.5286517627537,33.9335306547582,33.7103216676041,33.3109530620277,34.0479750651866,NA
75,NL3B,Summer,33.515986581333,33.9417706523091,33.7462233030237,33.400982664898,34.1013824567199,NA
76,NL3B,Winter,33.3536789752543,33.860286232084,33.6357329772519,33.1766716204584,34.0800195001066,NA
77,NL3D,Fall,33.8066753838211,34.1366313351318,33.9525538589805,33.4681233856827,34.3607897870243,NA
78,NL3D,Spring,33.8847010396421,34.2499058693647,34.0932199664946,33.6954862810671,34.5561082474887,NA
79,NL3D,Summer,33.963947435841,34.2535680904984,34.1020691231824,33.6649677716196,34.4386119861156,NA
80,NL3D,Winter,33.7570319417864,34.0439059305936,33.8933479506522,33.5093233734369,34.3775749672204,NA
81,NL6B,Fall,32.9575487226248,33.3159377519041,33.1309192883782,32.7829828485847,33.7412640452385,NA
82,NL6B,Spring,32.9299803357571,33.2412691321224,33.105643422875,32.7875606250018,33.5444196593016,NA
83,NL6B,Summer,33.009226731956,33.2703634444624,33.143584469799,32.8516494948417,33.4879604168236,NA
84,NL6B,Winter,32.873012451455,33.1522568129003,33.0195739599211,32.7173680532724,33.5505233611912,NA
85,Northeast_Nova_Scotia,Fall,31.8607643572614,32.6146732689813,32.2973316349089,30.6985686533153,33.0713827628642,NA
86,Northeast_Nova_Scotia,Spring,32.2072003036737,32.6527705416083,32.4097487443526,31.6354868933558,32.8943754080683,NA
87,Northeast_Nova_Scotia,Summer,32.3928037052974,32.815688517876,32.6193782058544,32.143620075658,33.0957975704223,NA
88,Northeast_Nova_Scotia,Winter,31.2901190947741,32.1832941379398,31.777688614758,30.3903317078948,32.615131046623,NA
89,Northeast_Nova_Scotia_outer,Fall,34.1225419566035,34.4543290184811,34.2792036384344,33.9991454500705,34.8048340994865,NA
90,Northeast_Nova_Scotia_outer,Spring,34.0489923488349,34.5311847981066,34.273896808736,33.9106417726725,34.6644489560276,NA
91,Northeast_Nova_Scotia_outer,Summer,34.106570603326,34.5461897319183,34.3509984319098,34.0510269161314,34.7804192919284,NA
92,Northeast_Nova_Scotia_outer,Winter,33.9798170607537,34.4045329838991,34.2145673731076,33.7427899707109,34.621723042801,NA
93,Offshore_Newfoundland,Fall,33.4009318007156,33.8713237596676,33.6283455602825,33.2255012355745,34.0708639472723,NA
94,Offshore_Newfoundland,Spring,33.3506271243095,33.8892788160592,33.6058199937855,33.1904049497098,34.0830713510513,NA
95,Offshore_Newfoundland,Summer,33.2939135609195,33.7347534298897,33.5140283103101,33.1171605270356,33.9350565802306,NA
96,Offshore_Newfoundland,Winter,33.5047455970198,33.9604886714369,33.7372675737632,33.2712789997458,34.2356638982892,NA
97,Quebec,Fall,34.1389710875228,34.3276263400912,34.2073579807766,33.9548936113715,34.4172490295023,NA
98,Quebec,Spring,34.0301726013422,34.3109428882599,34.1985209346084,33.9655750896782,34.4096194021404,NA
99,Quebec,Summer,34.121117759496,34.3048900505528,34.2117068683729,33.9671010151505,34.4019897747785,NA
100,Quebec,Winter,34.0606911107898,34.2865280807018,34.184945042112,33.948789909482,34.3653675634414,NA
101,St_Marys_Bay,Fall,32.2246975824237,32.5979389529675,32.375865932554,31.9498275406659,32.6868495438248,NA
102,St_Marys_Bay,Spring,32.0897040423006,32.4172693770379,32.2633810042004,31.9589830935001,32.5495162513107,NA
103,St_Marys_Bay,Summer,32.2579627577215,32.6255582040176,32.3987039504573,32.0474867708981,32.7219458296895,NA
104,St_Marys_Bay,Winter,32.1161534171551,32.4070965405554,32.2599537271474,31.9925534538925,32.5739310588688,NA
105,Torngat_2N5440,Fall,33.8947212835774,34.5229956647381,34.2400890821591,33.6207159329206,35.0856043864042,NA
106,Torngat_2N5440,Spring,33.6644591297954,34.2573829041794,33.9907782920636,33.5322122555226,34.6446119248867,NA
107,Torngat_2N5440,Summer,33.9482304034755,34.5459354110062,34.2862483276986,33.7015899829566,35.0306710693985,NA
108,Torngat_2N5440,Winter,33.6921292450279,34.3570767017081,34.0439822268672,33.4757530130446,34.6720785833895,NA
109,Trinity_Bay,Fall,33.3391318190843,33.8714254880324,33.5995564330369,33.042390178889,34.1196935623884,NA
110,Trinity_Bay,Spring,33.5464542265981,33.8063701987267,33.6854587708201,33.2499160431325,34.00524915196,NA
111,Trinity_Bay,Summer,33.6146122310311,34.0003661904484,33.7980539049022,33.3857234101743,34.2219305690378,NA
112,Trinity_Bay,Winter,33.3368937950581,33.831802289933,33.5783048932041,33.0759605392814,33.9671010151505,NA
113,Western_Cape_Breton,Fall,31.7176834121346,32.6085695670918,32.2368795541115,30.5520798079669,33.1278420053422,NA
114,Western_Cape_Breton,Spring,32.1893978398293,32.6975310221314,32.4184319869216,31.2128055375069,33.0469679553062,NA
115,Western_Cape_Breton,Summer,32.3397014988586,32.7224544715136,32.5237535429187,32.0642719510943,33.1553086638451,NA
116,Western_Cape_Breton,Winter,31.1354919802397,32.413708884269,31.7930931957173,29.802850401029,32.7356791589409,NA
